date,point,value
20220720,102,20
20220721,102,17
20220722,102,30
20220723,102,21
20220724,102,14
20220725,102,23
20220726,102,30
20220727,102,24
20220728,102,26
20220729,102,30
20220730,201,24
20220731,201,13
20220801,102,10
20220802,102,14
20220803,102,23
20220804,102,13
20220805,102,18
20220806,102,20
20220807,201,22
20220808,102,21
20220809,102,15
20220810,102,12
20220811,102,18
20220812,201,24
20220813,102,16
20220814,102,19
20220815,102,30
20220816,102,22
20220817,102,16
20220818,102,19
20220819,102,21
20220820,102,13
20220821,102,15
20220822,102,13
20220823,102,16
20220824,102,18
20220825,102,28
20220826,102,36
20220827,102,13
20220828,102,14
20220829,102,7
20220830,102,12
20220831,102,17
20220901,102,21
20220902,102,26
20220903,102,17
20220904,102,11
20220905,119,10
20220906,102,24
20220907,102,40
20220908,102,21
20220909,102,26
20220910,102,22
20220911,102,21
20220912,102,21
20220913,102,25
20220914,102,26
20220915,102,21
20220916,102,20
20220917,102,14
20220918,102,18
20220919,102,42
20220920,102,15
20220921,102,18
20220922,102,17
20220923,102,16
20220924,102,26
20220925,102,24
20220926,102,17
20220927,102,23
20220928,102,37
20220929,102,21
20220930,102,22
20221001,102,25
20221002,102,32
20221003,102,11
20221004,102,18
20221005,102,11
20221006,102,13
20221007,102,19
20221008,102,23
20221009,102,13
