지점,지점명,일시,평균상대습도
112,인천,2019-12-27,51.6
112,인천,2019-12-28,49.4
112,인천,2019-12-29,56.8
112,인천,2019-12-30,72.9
112,인천,2019-12-31,49
112,인천,2020-01-01,66.6
112,인천,2020-01-02,69.8
112,인천,2020-01-03,64.4
112,인천,2020-01-04,64
112,인천,2020-01-05,53
112,인천,2020-01-06,70.6
112,인천,2020-01-07,97
112,인천,2020-01-08,86
112,인천,2020-01-09,69.8
112,인천,2020-01-10,69.9
112,인천,2020-01-11,68.4
112,인천,2020-01-12,65.3
112,인천,2020-01-13,54.4
112,인천,2020-01-14,53.5
112,인천,2020-01-15,55.6
112,인천,2020-01-16,49.4
112,인천,2020-01-17,55.9
112,인천,2020-01-18,51.9
112,인천,2020-01-19,67.6
112,인천,2020-01-20,56
112,인천,2020-01-21,49.9
112,인천,2020-01-22,53.4
112,인천,2020-01-23,60.6
112,인천,2020-01-24,65.4
112,인천,2020-01-25,66.9
112,인천,2020-01-26,55.3
112,인천,2020-01-27,56.1
112,인천,2020-01-28,55.5
112,인천,2020-01-29,61
112,인천,2020-01-30,59.9
112,인천,2020-01-31,73.5
112,인천,2020-02-01,67.3
112,인천,2020-02-02,55
112,인천,2020-02-03,50.5
112,인천,2020-02-04,60.6
112,인천,2020-02-05,43.6
112,인천,2020-02-06,45.1
112,인천,2020-02-07,54.4
112,인천,2020-02-08,53.9
112,인천,2020-02-09,58.3
112,인천,2020-02-10,55.8
112,인천,2020-02-11,43.5
112,인천,2020-02-12,78.4
112,인천,2020-02-13,88.6
112,인천,2020-02-14,79.5
112,인천,2020-02-15,77.4
112,인천,2020-02-16,79.4
112,인천,2020-02-17,64.4
112,인천,2020-02-18,48.6
112,인천,2020-02-19,60.4
112,인천,2020-02-20,73.1
112,인천,2020-02-21,73.4
112,인천,2020-02-22,69.1
112,인천,2020-02-23,55.3
112,인천,2020-02-24,60.5
112,인천,2020-02-25,77.5
112,인천,2020-02-26,67
112,인천,2020-02-27,65.6
112,인천,2020-02-28,85
112,인천,2020-02-29,81.3
112,인천,2020-03-01,84.1
112,인천,2020-03-02,58.8
112,인천,2020-03-03,63.5
112,인천,2020-03-04,60.9
112,인천,2020-03-05,55.6
112,인천,2020-03-06,53.5
112,인천,2020-03-07,49.4
112,인천,2020-03-08,54.3
112,인천,2020-03-09,52.5
112,인천,2020-03-10,78.1
112,인천,2020-03-11,47.5
112,인천,2020-03-12,60.5
112,인천,2020-03-13,45
112,인천,2020-03-14,58.6
112,인천,2020-03-15,50.4
112,인천,2020-03-16,54.1
112,인천,2020-03-17,76
112,인천,2020-03-18,57.4
112,인천,2020-03-19,63.8
112,인천,2020-03-20,55.9
112,인천,2020-03-21,72.1
112,인천,2020-03-22,44.3
112,인천,2020-03-23,54.9
112,인천,2020-03-24,43.9
112,인천,2020-03-25,52.6
112,인천,2020-03-26,61.3
112,인천,2020-03-27,60.4
112,인천,2020-03-28,26.5
112,인천,2020-03-29,45.6
112,인천,2020-03-30,52.6
112,인천,2020-03-31,54.9
112,인천,2020-04-01,40.1
112,인천,2020-04-02,61.8
112,인천,2020-04-03,69.8
112,인천,2020-04-04,40.4
112,인천,2020-04-05,33.9
112,인천,2020-04-06,58
112,인천,2020-04-07,70.1
112,인천,2020-04-08,38
112,인천,2020-04-09,56.4
112,인천,2020-04-10,61.4
112,인천,2020-04-11,74.6
112,인천,2020-04-12,56.6
112,인천,2020-04-13,40.1
112,인천,2020-04-14,59
112,인천,2020-04-15,47.3
112,인천,2020-04-16,42.5
112,인천,2020-04-17,80.5
112,인천,2020-04-18,75.5
112,인천,2020-04-19,77.8
112,인천,2020-04-20,72.9
112,인천,2020-04-21,45.6
112,인천,2020-04-22,44.6
112,인천,2020-04-23,49.6
112,인천,2020-04-24,62.5
112,인천,2020-04-25,58.6
112,인천,2020-04-26,44.3
112,인천,2020-04-27,56.6
112,인천,2020-04-28,63.4
112,인천,2020-04-29,52.3
112,인천,2020-04-30,63.1
112,인천,2020-05-01,82.1
112,인천,2020-05-02,86.3
112,인천,2020-05-03,74.4
112,인천,2020-05-04,76
112,인천,2020-05-05,77
112,인천,2020-05-06,54.3
112,인천,2020-05-07,33
112,인천,2020-05-08,37
112,인천,2020-05-09,94.9
112,인천,2020-05-10,91.8
112,인천,2020-05-11,71.8
112,인천,2020-05-12,71
112,인천,2020-05-13,56.6
112,인천,2020-05-14,28.5
112,인천,2020-05-15,82.8
112,인천,2020-05-16,93.5
112,인천,2020-05-17,85.1
112,인천,2020-05-18,79.9
112,인천,2020-05-19,71
112,인천,2020-05-20,61
112,인천,2020-05-21,59.6
112,인천,2020-05-22,67.8
112,인천,2020-05-23,67.5
112,인천,2020-05-24,90.1
112,인천,2020-05-25,89.6
112,인천,2020-05-26,85.1
112,인천,2020-05-27,74.6
112,인천,2020-05-28,69.3
112,인천,2020-05-29,69.5
112,인천,2020-05-30,59.8
112,인천,2020-05-31,69.9
112,인천,2020-06-01,78.4
112,인천,2020-06-02,77.9
112,인천,2020-06-03,82.1
